order_id,order_date,customer_id,category_name,quantity,unit_price,total_amount
1001,2025-01-05,201,Electronics,1,25000,25000
1002,2025-01-12,202,Apparel,2,1500,3000
1003,2025-01-18,201,Electronics,1,12000,12000
1004,2025-02-02,203,Home & Kitchen,3,800,2400
1005,2025-02-14,204,Beauty,2,1200,2400
1006,2025-02-20,202,Apparel,1,2500,2500
1007,2025-03-01,205,Electronics,1,45000,45000
1008,2025-03-10,201,Home & Kitchen,2,1500,3000
1009,2025-03-22,206,Apparel,4,1000,4000
1010,2025-04-05,203,Electronics,1,18000,18000
1011,2025-04-18,207,Beauty,3,1500,4500
1012,2025-05-01,201,Electronics,1,30000,30000
1013,2025-05-15,208,Home & Kitchen,1,5000,5000
1014,2025-06-02,202,Apparel,2,2000,4000
1015,2025-06-20,205,Electronics,1,22000,22000
